DeerNo,Date,hh,StartCryTime(Sec),EndCtyTime(Sec),CryDuration(Sec),AnalysisStartTime,AnalysisEndTime,DNN_StartTime,DNN_EndTime,time_delay_POI3_POI1,time_delay_POI3_POI2,time_delay_POI1_POI2
1.0,20221011.0,22.0,162.19138321995464,166.98920634920634,4.800725623582767,7130590.0,7430374.0,7139362.0,7426012.0,-1.7606407936661492,0.4447633883747333,-1.019890023398104
2.0,20221011.0,22.0,173.6649433106576,175.89696145124717,2.234920634920635,7636574.0,7823206.0,7588770.0,7875420.0,-0.27254114285272024,0.41013825199909704,-0.029728050443457832
3.0,20221011.0,22.0,304.97668934240363,308.82249433106574,3.848707482993197,13427422.0,13685222.0,13415202.0,13701852.0,0.41857305220623164,2.1403257625896197,-0.09052189308235903
4.0,20221011.0,22.0,348.0351927437642,350.13950113378684,2.1072108843537416,15326302.0,15507302.0,15275682.0,15562332.0,0.18981964283161723,-0.15578317360568716,-0.9365131106135203
5.0,20221011.0,22.0,350.7112925170068,354.20589569160995,3.4975056689342403,15444318.0,15686630.0,15424354.0,15711004.0,-0.31716684179907073,2.1831382613174606,-0.7696403644457179
6.0,20221011.0,22.0,354.8299319727891,358.69315192743767,3.866122448979592,15625950.0,15884518.0,15614114.0,15900764.0,0.14297107447608948,1.7934989997680137,0.06725649593910887
7.0,20221011.0,22.0,378.9467573696145,382.6358276643991,3.6919727891156464,16689502.0,16940390.0,16673826.0,16960476.0,1.7008684573979584,1.1740863123759349,-0.42523979017683367
8.0,20221011.0,22.0,411.2195918367347,413.97986394557824,2.7631746031746034,18112734.0,18322662.0,18076578.0,18363228.0,0.23011447484384728,1.9025487454028802,-0.096236286089602
9.0,20221011.0,22.0,464.8228571428571,468.8457142857143,4.025759637188209,20476638.0,20742246.0,20468322.0,20754972.0,-0.13328848368346602,1.8794175067460035,2.8972898197067742
10.0,20221011.0,22.0,484.8500680272109,489.3170068027211,4.46984126984127,21359838.0,21645030.0,21361314.0,21647964.0,-1.3735422311678125,1.7718202716847333,-0.01108847425488424
11.0,20221011.0,22.0,541.1555555555556,544.9171882086168,3.7645351473922903,23842910.0,24096998.0,23828834.0,24115484.0,-0.0022675826205436067,-0.8237900902173712,-0.1031296575823335
12.0,20221011.0,22.0,559.8069841269842,565.1707936507936,5.366712018140589,24665438.0,24990182.0,24686690.0,24973340.0,-1.8655386244624506,1.7260597369084394,2.3197123586226347
13.0,20221011.0,22.0,593.3365986394558,596.0620408163265,2.728344671201814,26144094.0,26352486.0,26107170.0,26393820.0,0.5794585629310047,1.7324346172,0.23238206750085855
14.0,20221011.0,22.0,746.3764172335601,749.2527891156462,2.8792743764172335,32893150.0,33108198.0,32859554.0,33146204.0,-1.208304938496438,-1.081819089550502,0.3249448216915134
15.0,20221011.0,22.0,780.8725623582767,784.6893424036281,3.81968253968254,34414430.0,34670950.0,34401570.0,34688220.0,0.14544274385477962,0.36771118402699,0.38832350927862613
16.0,20221011.0,22.0,888.2242176870749,891.8291156462585,3.607800453514739,39148638.0,39395814.0,39131106.0,39417756.0,0.06975084908444984,1.15930174234152,-0.3602508905736874
17.0,20221011.0,22.0,996.3305215419501,998.8208616780046,2.4932426303854873,43916126.0,44114150.0,43874018.0,44160668.0,0.1405449274239121,1.1898699542941156,0.12913897413345854
18.0,20221011.0,22.0,1000.9222675736961,1009.5775056689342,8.658140589569161,44118622.0,44588518.0,-999.0,-999.0,0.07480741543576919,3.949350808361949,1.449662949017485
19.0,20221011.0,22.0,1243.802993197279,1247.86358276644,4.063492063492063,54829662.0,55096934.0,54822178.0,55108828.0,0.07510232181217269,-1.1270563710840644,-0.13975108977307382
